TSK,PSFC,U10,V10,Q2,RAINC,RAINNC,SNOW,TSLB,SMOIS,DATETIME,WIND_SPEED
279.3,96014,0.5,6.6,0.00433,0,0.1,0,275.7,0.2914,2018-05-01T04:00:00Z,6.62
279.8,97643,2.2,6.5,0.0037,0,0,0,278.1,0.2653,2018-05-01T04:00:00Z,6.86
280.4,99975,-1.5,3.8,0.00472,0,0,0,273.2,1,2018-05-01T04:00:00Z,4.09
283.4,96101,2.2,6,0.00424,0,0,0,276.4,0.2318,2018-05-01T04:00:00Z,6.39
286.3,97442,2.4,5.4,0.00413,0,0,0,277.5,0.2263,2018-05-01T04:00:00Z,5.91
280.6,100050,-2.8,3.7,0.00445,0,0,0,273.2,1,2018-05-01T04:00:00Z,4.64
282.2,99442,-0.8,11,0.00534,0,1.1,0,273.2,1,2018-05-01T04:00:00Z,11.03
284.1,98723,4.9,5,0.00386,0,0,0,278.5,0.2755,2018-05-01T07:00:00Z,7
281.6,96760,4.9,6.3,0.00398,0,0,0,278.9,0.2662,2018-05-01T07:00:00Z,7.98
278.4,95415,1.7,7.5,0.00421,0,0.4,0,276.5,0.2445,2018-05-01T07:00:00Z,7.69
280.5,98287,-0.6,7.6,0.00408,0,0.7,0,279.1,0.2612,2018-05-01T07:00:00Z,7.62
282.4,99383,-0.2,11.65,0.00538,0,0.55,0,273.2,1,2018-05-01T07:00:00Z,11.65
279.6,97914,-0.3,6.8,0.00518,0,1.9,0,276.9,0.2854,2018-05-01T07:00:00Z,6.81
280.3,98198,-0.6,8.5,0.00509,0,2,0,279.1,0.2837,2018-05-01T07:00:00Z,8.52
280.9,98056,-0.6,6.7,0.0044,0,1.1,0,279.1,0.265,2018-05-01T07:00:00Z,6.73
279.3,97984,-1.2,9.5,0.00546,0,6.3,0,278.9,0.2957,2018-05-01T07:00:00Z,9.58
281.3,99663,-3.5,7.5,0.00508,0,0,0,273.2,1,2018-05-01T07:00:00Z,8.28
286.2,95859,1.9,6.2,0.00374,0,0,0,278.3,0.2436,2018-05-01T07:00:00Z,6.48
279.2,100044,4.2,4.2,0.00479,0,0,0,273.2,1,2018-05-01T07:00:00Z,5.94
280.3,96492,-0.5,9.1,0.00407,0,0.3,0,278.3,0.2621,2018-05-01T07:00:00Z,9.11
279.3,100111,2.7,2.5,0.00516,0,0,0,273.2,1,2018-05-01T07:00:00Z,3.68
277.5,93633.25,1,8.4,0.00429,0,0.7,0,276,0.2646,2018-05-01T07:00:00Z,8.46
278.7,95797,-0.9,7.9,0.00485,0,2.2,0,277.3,0.2945,2018-05-01T07:00:00Z,7.95
280.7,98374,-0.3,6.5,0.00446,0,0.6,0,278.9,0.2652,2018-05-01T07:00:00Z,6.51
282.1,99376,0.2,4,0.00401,0,0.1,0,279.5,0.2376,2018-05-01T07:00:00Z,4
280,97413,0.4,5.8,0.00377,0,0.4,0,276.4,0.2347,2018-05-01T07:00:00Z,5.81
282.6,99318,-0.7,11.4,0.00499,0,1.3,0,273.2,1,2018-05-01T07:00:00Z,11.42
278.4,94627,-0.3,9.3,0.00467,0,1.6,0,275.5,0.276,2018-05-01T07:00:00Z,9.3
287.4,97364,2,5.5,0.0037200000000000002,0,0,0,280.2,0.2346,2018-05-01T07:00:00Z,5.85
279.3,95776,0,7.9,0.0046,0,1,0,276.6,0.2617,2018-05-01T07:00:00Z,7.9
282.8,97399,0.2,7.8,0.00378,0,0.3,0,277.5,0.2552,2018-05-01T07:00:00Z,7.8
281.7,97222,4.9,5.6,0.00392,0,0,0,278,0.2713,2018-05-01T07:00:00Z,7.44
279.3,96682,0,6.6,0.0039,0,0.6,0,276.1,0.2429,2018-05-01T07:00:00Z,6.6
282.2,99491,-1.8,11.65,0.0061,0,5.2,0,273.2,1,2018-05-01T07:00:00Z,11.79
280.6,98750,0.9,8.8,0.00533,0,0.9,0,278.5,0.2963,2018-05-01T07:00:00Z,8.85
280.3,97384,1.1,6.2,0.00496,0,1.2,0,277.7,0.2715,2018-05-01T07:00:00Z,6.3
280.1,99771,4,6.4,0.00458,0,0,0,273.2,1,2018-05-01T07:00:00Z,7.55
278.8,95816,-1,7.3,0.00492,0,1.8,0,275.45,0.291,2018-05-01T07:00:00Z,7.37
280,97407,-0.3,8.1,0.00396,0,0.3,0,279,0.2645,2018-05-01T07:00:00Z,8.11
280.4,99770,-0.3,3.8,0.00538,0,0,0,273.2,1,2018-05-01T07:00:00Z,3.81
280.1,95925,1.6,6.8,0.00353,0,0.1,0,278.4,0.2313,2018-05-01T07:00:00Z,6.99
282.2,97278,1.7,6.3,0.00359,0,0,0,279.8,0.2258,2018-05-01T07:00:00Z,6.53
280.6,99804,-1.6,5,0.00536,0,0,0,273.2,1,2018-05-01T07:00:00Z,5.25
282.2,99196,-1.9,11.65,0.00582,0,4.4,0,273.2,1,2018-05-01T07:00:00Z,11.8
281.3,98596,1,6.2,0.00462,0,1.8,0,280.1,0.2753,2018-05-01T10:00:00Z,6.28
279.6,96631,2.5,8,0.0044,0,0.9,0,279.4,0.2658,2018-05-01T10:00:00Z,8.38
278.4,95231,1.7,9.3,0.00506,0,0.8,0,276.5,0.2443,2018-05-01T10:00:00Z,9.45
279,98103,-0.1,6.5,0.00535,0,1.9,0,279.6,0.2611,2018-05-01T10:00:00Z,6.5
282.4,99212,0.9,11.65,0.00601,0,3.3,0,273.2,1,2018-05-01T10:00:00Z,11.68
279.9,97659,0,9.1,0.00596,0,5.8,0,277.9,0.287,2018-05-01T10:00:00Z,9.1
279.8,97979,-0.9,9.2,0.00555,0,6.2,0,279.3,0.285,2018-05-01T10:00:00Z,9.24
280.3,98511,0.1,8.1,0.00524,0,2.6,0,279.7,0.2657,2018-05-01T10:00:00Z,8.1
279.8,97735,-1.5,8.3,0.00613,0,12.5,0,279.3,0.2978,2018-05-01T10:00:00Z,8.43
281.3,99488,0.7,9.6,0.00466,0,7.55,0,273.2,1,2018-05-01T10:00:00Z,9.63
279.4,95708,0.8,7,0.00429,0,1.4,0,279.1,0.6489,2018-05-01T10:00:00Z,7.05
279.2,99938,1.4,6.9,0.00506,0,0.4,0,273.2,1,2018-05-01T10:00:00Z,7.04
279,96299,-1.2,9,0.00503,0,1.6,0,278.7,0.2623,2018-05-01T10:00:00Z,9.08
279.3,100021,0.8,7.2,0.00503,0,0.3,0,273.2,1,2018-05-01T10:00:00Z,7.24
277.2,93633.25,-0.9,8.4,0.00499,0,2.4,0,276,0.2645,2018-05-01T10:00:00Z,8.45
278.5,95578,-0.7,8.2,0.00545,0,6.9,0,277.8,0.2963,2018-05-01T10:00:00Z,8.23
280.3,98180,0.3,8.7,0.00512,0,1.6,0,279.5,0.2655,2018-05-01T10:00:00Z,8.71
280.7,99204,0.5,4.7,0.00508,0,0.9,0,280.2,0.2376,2018-05-01T10:00:00Z,4.73
278.9,97232,0.8,6,0.00511,0,1.1,0,277.1,0.2349,2018-05-01T10:00:00Z,6.05
282.6,99142,0.2,11.5,0.00597,0,3,0,273.2,1,2018-05-01T10:00:00Z,11.5
277.5,94428,-0.4,7.5,0.00529,0,5.7,0,276.1,0.2778,2018-05-01T10:00:00Z,7.51
280.6,97219,0.4,6.4,0.00423,0,0.7,0,280.7,0.2341,2018-05-01T10:00:00Z,6.41
278.5,95567,-0.5,7.2,0.00533,0,3.4,0,277.6,0.2625,2018-05-01T10:00:00Z,7.22
279.8,97235,-1.1,6.4,0.00488,0,3,0,278.9,0.2553,2018-05-01T10:00:00Z,6.49
280.6,97093,1.6,6.8,0.00465,0,2.8,0,279.7,0.2702,2018-05-01T10:00:00Z,6.99
278.7,96498,0.6,7.7,0.00504,0,2.9,0,277.2,0.243,2018-05-01T10:00:00Z,7.72
282.2,99249,-0.4,11.65,0.00655,0,8.7,0,278.45,1,2018-05-01T10:00:00Z,11.66
280.5,98489,0.3,10.7,0.006,0,4,0,279.1,0.2972,2018-05-01T10:00:00Z,10.7
279.2,97150,0.7,7.3,0.00565,0,5.5,0,277.7,0.2709,2018-05-01T10:00:00Z,7.33
280.1,99595,1.9,7,0.00534,0,0.3,0,273.2,1,2018-05-01T10:00:00Z,7.25
278.6,95588,-0.1,8.8,0.00553,0,6.4,0,277.1,0.2925,2018-05-01T10:00:00Z,8.8
279.6,97208,-0.1,8.9,0.00509,0,1.1,0,279.3,0.2641,2018-05-01T10:00:00Z,8.9
280.4,99623,0,7.5,0.0048,0,0.6,0,273.2,1,2018-05-01T10:00:00Z,7.5
279.1,95720,1.8,9.4,0.00466,0,0.6,0,278.7,0.2312,2018-05-01T10:00:00Z,9.57
280.2,97090,1.4,5.9,0.00459,0,1.1,0,275.95,0.2257,2018-05-01T10:00:00Z,6.06
280.6,99715,0.5,8.7,0.00451,0,0.1,0,277.325,1,2018-05-01T10:00:00Z,8.71
282.2,98950,-0.8,11.65,0.00632,0,8.8,0,273.2,1,2018-05-01T10:00:00Z,11.68
280,98448,0.8,6.5,0.00581,0,2.9,0,280.1,0.2767,2018-05-01T13:00:00Z,6.55
278.7,96519,0.3,6.4,0.00564,0,3.4,0,279.1,0.2664,2018-05-01T13:00:00Z,6.41
278.7,95092,1.9,7.4,0.00553,0,1.5,0,276.5,0.2441,2018-05-01T13:00:00Z,7.64
278.7,97960,1.1,7.7,0.00569,0,2.5,0,279.7,0.2616,2018-05-01T13:00:00Z,7.78
282.4,99056,1.9,11.65,0.00645,0,4,0,273.2,1,2018-05-01T13:00:00Z,11.8
280,97517,1,7.3,0.00624,0,10.1,0,278.6,0.2888,2018-05-01T13:00:00Z,7.37
280.3,97865,0.8,7.8,0.00617,0,9.5,0,279.6,0.2873,2018-05-01T13:00:00Z,7.84
280.5,98369,0.9,7.3,0.00578,0,3.6,0,279.9,0.2667,2018-05-01T13:00:00Z,7.36
280.4,97625,1.4,7.55,0.00646,0,16.5,0,279.7,0.2998,2018-05-01T13:00:00Z,7.68
281.3,99375,-1.7,11.6,0.00612,0,0.8,0,273.2,1,2018-05-01T13:00:00Z,11.72
278.5,95561,0.9,7.6,0.00521,0,2,0,278.9,0.2439,2018-05-01T13:00:00Z,7.65
279.2,99816,0.1,7.4,0.00572,0,1.3,0,273.2,1,2018-05-01T13:00:00Z,7.4
279.2,96153,0.6,8.6,0.00541,0,2,0,278.8,0.2634,2018-05-01T13:00:00Z,8.62
279.3,99911,-1,8.3,0.00565,0,1,0,273.2,1,2018-05-01T13:00:00Z,8.36
277.2,93633.25,0.1,8.8,0.00543,0,4.2,0,276,0.2651,2018-05-01T13:00:00Z,8.8
279,95457,0.6,7.7,0.00593,0,11.7,0,278.2,0.2988,2018-05-01T13:00:00Z,7.72
280.6,98045,1,7.2,0.00572,0,2.3,0,279.8,0.2661,2018-05-01T13:00:00Z,7.27
280.1,99016,-0.3,2.8,0.00542,0,0.9,0,280.2,0.2383,2018-05-01T13:00:00Z,2.82
279.2,97069,0.7,4.5,0.00536,0,1.1,0,277.8,0.2354,2018-05-01T13:00:00Z,4.55
282.6,98989,1.3,11.6,0.00632,0,3.9,0,273.2,1,2018-05-01T13:00:00Z,11.67
278.1,94298,1.2,8.9,0.00574,0,9.4,0,277,0.2811,2018-05-01T13:00:00Z,8.98
279.6,97071,0.3,6.9,0.00528,0,1.3,0,280.3,0.2344,2018-05-01T13:00:00Z,6.91
279,95428,1.1,7.8,0.00575,0,6,0,278.2,0.264,2018-05-01T13:00:00Z,7.88
278.9,97058,-1.8,6.1,0.00557,0,3.3,0,279,0.2568,2018-05-01T13:00:00Z,6.36
279.1,96950,0.8,6.2,0.0058,0,5.1,0,279.5,0.2715,2018-05-01T13:00:00Z,6.25
279.2,96342,0.7,7.3,0.00536,0,1.1,0,277.8,0.2431,2018-05-01T13:00:00Z,7.33
282.2,99167,3.4,10.7,0.00697,0,9.4,0,273.2,1,2018-05-01T13:00:00Z,11.23
280.7,98337,1.7,10.4,0.00629,0,8.4,0,279.6,0.2995,2018-05-01T13:00:00Z,10.54
279.3,96993,1.2,7.2,0.00604,0,8.9,0,277.7,0.2717,2018-05-01T13:00:00Z,7.3
280.1,99433,2.7,8.5,0.0057,0,0.3,0,273.2,0.28559999999999997,2018-05-01T13:00:00Z,8.92
278.9,95448,0.6,7.8,0.00592,0,10.6,0,277.8,0.2947,2018-05-01T13:00:00Z,7.82
280,97071,1.3,8.1,0.0055,0,5.45,0,279.5,0.2644,2018-05-01T13:00:00Z,8.2
280.4,99474,-2.8,8.2,0.00577,0,0.9,0,273.2,1,2018-05-01T13:00:00Z,8.66
279.1,95580,1.8,8.7,0.00511,0,0.6,0,278.7,0.2316,2018-05-01T13:00:00Z,8.88
